,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,DEFAULT_CDB_PLAN,6,1761.9880715705765,5.41,Linux x86 64-bit,1944822.9,3529.7,1767.6,165872619,28-Jan-21 08:42,2021-01-28 09:21:02
1,DEFAULT_CDB_PLAN,6,1757.5309871624613,5.41,Linux x86 64-bit,1940257.8,3521.3,1765.1,165872619,28-Jan-21 08:42,2021-01-28 10:14:44
2,ORA$INTERNAL_CDB_PLAN,6,1773.1976010101012,5.41,Linux x86 64-bit,2006064.7,3640.7,1829.4,165872619,28-Jan-21 08:42,2021-01-28 09:01:15
3,ORA$INTERNAL_CDB_PLAN,6,1838.1099430573806,5.41,Linux x86 64-bit,2030452.0,3685.1,1847.2,165872619,28-Jan-21 08:42,2021-01-28 09:56:45
4,DEFAULT_CDB_PLAN,6,1755.080787959274,5.41,Linux x86 64-bit,1934564.6,3511.0,1757.3,165872619,28-Jan-21 08:42,2021-01-28 10:32:08
5,DEFAULT_CDB_PLAN,6,1753.2604373757456,5.41,Linux x86 64-bit,1938868.8,3518.8,1765.0,165872619,28-Jan-21 08:42,2021-01-28 11:42:55
6,ORA$INTERNAL_CDB_PLAN,6,1836.2694755321484,5.41,Linux x86 64-bit,2038272.2,3699.2,1851.0,165872619,28-Jan-21 08:42,2021-01-28 11:07:01
7,DEFAULT_CDB_PLAN,6,1759.5484727755643,5.41,Linux x86 64-bit,1940960.4,3522.6,1765.5,165872619,28-Jan-21 08:42,2021-01-28 10:49:30
8,ORA$INTERNAL_CDB_PLAN,6,1825.7711605584643,5.41,Linux x86 64-bit,2031242.1,3686.6,1844.4,165872619,28-Jan-21 08:42,2021-01-28 09:38:46
9,ORA$INTERNAL_CDB_PLAN,6,1832.9114754098362,5.41,Linux x86 64-bit,2033583.8,3690.8,1849.6,165872619,28-Jan-21 08:42,2021-01-28 11:25:02
